# synthetic IR spectrum (sum of Lorentzians); NOT measured data
# bands: 3350:O-H stretch (broad, H-bonded); 2950:C-H stretch; 1714:C=O stretch (carbonyl, ~1715); 1450:CH2/CH3 bend; 1250:C-O stretch; 1050:C-O / C-C skeletal
# wavenumber_cm-1,absorbance
1230.0000,0.2373
1232.0000,0.2582
1234.0000,0.2810
1236.0000,0.3055
1238.0000,0.3312
1240.0000,0.3570
1242.0000,0.3818
1244.0000,0.4039
1246.0000,0.4216
1248.0000,0.4330
1250.0000,0.4369
1252.0000,0.4330
1254.0000,0.4216
1256.0000,0.4040
1258.0000,0.3819
1260.0000,0.3571
1262.0000,0.3313
1264.0000,0.3057
1266.0000,0.2812
1268.0000,0.2584
1270.0000,0.2375
1272.0000,0.2186
1274.0000,0.2016
1276.0000,0.1865
1278.0000,0.1731
1280.0000,0.1611
1282.0000,0.1506
1284.0000,0.1412
1286.0000,0.1329
1288.0000,0.1255
1290.0000,0.1189
1292.0000,0.1131
1294.0000,0.1078
1296.0000,0.1032
1298.0000,0.0990
1300.0000,0.0952
1302.0000,0.0919
1304.0000,0.0889
1306.0000,0.0862
1308.0000,0.0838
1310.0000,0.0816
1312.0000,0.0796
1314.0000,0.0779
1316.0000,0.0763
1318.0000,0.0750
1320.0000,0.0737
1322.0000,0.0726
1324.0000,0.0717
1326.0000,0.0709
1328.0000,0.0702
1330.0000,0.0696
1332.0000,0.0691
1334.0000,0.0687
1336.0000,0.0684
1338.0000,0.0682
1340.0000,0.0681
1342.0000,0.0681
1344.0000,0.0682
1346.0000,0.0684
1348.0000,0.0687
1350.0000,0.0690
1352.0000,0.0694
1354.0000,0.0700
1356.0000,0.0706
1358.0000,0.0713
1360.0000,0.0721
1362.0000,0.0731
1364.0000,0.0741
1366.0000,0.0752
1368.0000,0.0765
1370.0000,0.0779
1372.0000,0.0795
1374.0000,0.0812
1376.0000,0.0830
1378.0000,0.0850
1380.0000,0.0872
1382.0000,0.0897
1384.0000,0.0923
1386.0000,0.0952
1388.0000,0.0983
1390.0000,0.1017
1392.0000,0.1054
1394.0000,0.1095
1396.0000,0.1140
1398.0000,0.1189
1400.0000,0.1242
1402.0000,0.1301
1404.0000,0.1365
1406.0000,0.1436
1408.0000,0.1513
1410.0000,0.1599
1412.0000,0.1693
1414.0000,0.1796
1416.0000,0.1910
1418.0000,0.2036
1420.0000,0.2173
1422.0000,0.2324
1424.0000,0.2489
1426.0000,0.2668
1428.0000,0.2862
1430.0000,0.3069
1432.0000,0.3288
1434.0000,0.3516
1436.0000,0.3749
1438.0000,0.3980
1440.0000,0.4202
1442.0000,0.4404
1444.0000,0.4576
1446.0000,0.4709
1448.0000,0.4792
1450.0000,0.4821
1452.0000,0.4792
1454.0000,0.4708
1456.0000,0.4575
1458.0000,0.4402
1460.0000,0.4199
1462.0000,0.3977
1464.0000,0.3746
1466.0000,0.3513
1468.0000,0.3284
1470.0000,0.3064
1472.0000,0.2857
1474.0000,0.2663
1476.0000,0.2483
1478.0000,0.2317
1480.0000,0.2166
1482.0000,0.2028
1484.0000,0.1902
1486.0000,0.1787
1488.0000,0.1683
1490.0000,0.1588
1492.0000,0.1502
1494.0000,0.1424
1496.0000,0.1352
1498.0000,0.1287
1500.0000,0.1228
1502.0000,0.1173
1504.0000,0.1124
1506.0000,0.1078
1508.0000,0.1036
1510.0000,0.0998
1512.0000,0.0963
1514.0000,0.0930
1516.0000,0.0900
1518.0000,0.0873
1520.0000,0.0847
1522.0000,0.0824
1524.0000,0.0802
1526.0000,0.0782
1528.0000,0.0764
1530.0000,0.0746
1532.0000,0.0730
1534.0000,0.0716
1536.0000,0.0702
1538.0000,0.0689
1540.0000,0.0678
1542.0000,0.0667
1544.0000,0.0657
1546.0000,0.0648
1548.0000,0.0639
1550.0000,0.0632
1552.0000,0.0625
1554.0000,0.0618
1556.0000,0.0612
1558.0000,0.0607
1560.0000,0.0602
1562.0000,0.0598
1564.0000,0.0595
1566.0000,0.0591
1568.0000,0.0589
1570.0000,0.0586
1572.0000,0.0585
1574.0000,0.0583
1576.0000,0.0583
1578.0000,0.0582
1580.0000,0.0582
1582.0000,0.0583
1584.0000,0.0583
1586.0000,0.0585
1588.0000,0.0587
1590.0000,0.0589
1592.0000,0.0592
1594.0000,0.0595
1596.0000,0.0598
1598.0000,0.0603
1600.0000,0.0607
1602.0000,0.0613
1604.0000,0.0618
1606.0000,0.0625
1608.0000,0.0632
1610.0000,0.0640
1612.0000,0.0648
1614.0000,0.0657
1616.0000,0.0667
1618.0000,0.0678
1620.0000,0.0690
1622.0000,0.0703
1624.0000,0.0716
1626.0000,0.0731
1628.0000,0.0747
1630.0000,0.0764
1632.0000,0.0783
1634.0000,0.0803
1636.0000,0.0825
1638.0000,0.0849
1640.0000,0.0875
1642.0000,0.0903
1644.0000,0.0933
1646.0000,0.0966
1648.0000,0.1002
1650.0000,0.1041
1652.0000,0.1084
1654.0000,0.1131
1656.0000,0.1183
1658.0000,0.1239
1660.0000,0.1302
1662.0000,0.1370
1664.0000,0.1446
1666.0000,0.1531
1668.0000,0.1625
1670.0000,0.1729
1672.0000,0.1846
1674.0000,0.1978
1676.0000,0.2125
1678.0000,0.2291
1680.0000,0.2480
1682.0000,0.2693
1684.0000,0.2936
1686.0000,0.3212
1688.0000,0.3527
1690.0000,0.3886
1692.0000,0.4295
1694.0000,0.4759
1696.0000,0.5283
1698.0000,0.5869
1700.0000,0.6513
1702.0000,0.7204
1704.0000,0.7922
1706.0000,0.8630
1708.0000,0.9279
1710.0000,0.9808
1712.0000,1.0156
1714.0000,1.0277
1716.0000,1.0154
1718.0000,0.9805
1720.0000,0.9275
1722.0000,0.8625
1724.0000,0.7915
1726.0000,0.7196
1728.0000,0.6504
1730.0000,0.5859
1732.0000,0.5272
1734.0000,0.4746
1736.0000,0.4281
1738.0000,0.3870
1740.0000,0.3510
1742.0000,0.3193
1744.0000,0.2916
1746.0000,0.2672
1748.0000,0.2457
1750.0000,0.2267
1752.0000,0.2100
1754.0000,0.1951
1756.0000,0.1818
1758.0000,0.1699
1760.0000,0.1593
1762.0000,0.1498
1764.0000,0.1412
1766.0000,0.1334
1768.0000,0.1264
1770.0000,0.1200
1772.0000,0.1142
1774.0000,0.1089
1776.0000,0.1040
1778.0000,0.0995
1780.0000,0.0954
1782.0000,0.0916
1784.0000,0.0882
1786.0000,0.0849
1788.0000,0.0819
1790.0000,0.0792
1792.0000,0.0766
1794.0000,0.0742
1796.0000,0.0719
1798.0000,0.0698
1800.0000,0.0679
1802.0000,0.0661
1804.0000,0.0643
1806.0000,0.0627
1808.0000,0.0612
1810.0000,0.0598
1812.0000,0.0584
1814.0000,0.0571
1816.0000,0.0559
1818.0000,0.0548
1820.0000,0.0537
1822.0000,0.0527
1824.0000,0.0517
1826.0000,0.0508
1828.0000,0.0499
1830.0000,0.0491
1832.0000,0.0483
1834.0000,0.0476
1836.0000,0.0468
1838.0000,0.0462
1840.0000,0.0455
1842.0000,0.0449
1844.0000,0.0443
1846.0000,0.0437
1848.0000,0.0432
1850.0000,0.0426
1852.0000,0.0421
1854.0000,0.0417
1856.0000,0.0412
1858.0000,0.0408
1860.0000,0.0403
1862.0000,0.0399
1864.0000,0.0395
1866.0000,0.0392
1868.0000,0.0388
1870.0000,0.0384
1872.0000,0.0381
1874.0000,0.0378
1876.0000,0.0375
1878.0000,0.0372
1880.0000,0.0369
1882.0000,0.0366
1884.0000,0.0363
1886.0000,0.0361
1888.0000,0.0358
1890.0000,0.0356
1892.0000,0.0353
1894.0000,0.0351
1896.0000,0.0349
1898.0000,0.0346
1900.0000,0.0344
1902.0000,0.0342
1904.0000,0.0340
1906.0000,0.0339
1908.0000,0.0337
1910.0000,0.0335
1912.0000,0.0333
1914.0000,0.0332
1916.0000,0.0330
1918.0000,0.0328
1920.0000,0.0327
1922.0000,0.0325
1924.0000,0.0324
1926.0000,0.0322
1928.0000,0.0321
1930.0000,0.0320
1932.0000,0.0318
1934.0000,0.0317
1936.0000,0.0316
1938.0000,0.0315
1940.0000,0.0314
1942.0000,0.0313
1944.0000,0.0311
1946.0000,0.0310
1948.0000,0.0309
1950.0000,0.0308
1952.0000,0.0307
1954.0000,0.0306
1956.0000,0.0305
1958.0000,0.0305
1960.0000,0.0304
1962.0000,0.0303
1964.0000,0.0302
1966.0000,0.0301
1968.0000,0.0300
1970.0000,0.0300
1972.0000,0.0299
1974.0000,0.0298
1976.0000,0.0297
1978.0000,0.0297
1980.0000,0.0296
1982.0000,0.0295
1984.0000,0.0295
1986.0000,0.0294
1988.0000,0.0293
1990.0000,0.0293
1992.0000,0.0292
1994.0000,0.0292
1996.0000,0.0291
1998.0000,0.0291
2000.0000,0.0290
2002.0000,0.0289
2004.0000,0.0289
2006.0000,0.0288
2008.0000,0.0288
2010.0000,0.0287
2012.0000,0.0287
2014.0000,0.0287
2016.0000,0.0286
2018.0000,0.0286
2020.0000,0.0285
2022.0000,0.0285
2024.0000,0.0284
2026.0000,0.0284
2028.0000,0.0284
2030.0000,0.0283
2032.0000,0.0283
2034.0000,0.0283
2036.0000,0.0282
2038.0000,0.0282
2040.0000,0.0282
2042.0000,0.0281
2044.0000,0.0281
2046.0000,0.0281
2048.0000,0.0280
2050.0000,0.0280
2052.0000,0.0280
2054.0000,0.0280
2056.0000,0.0279
2058.0000,0.0279
2060.0000,0.0279
2062.0000,0.0279
2064.0000,0.0278
2066.0000,0.0278
2068.0000,0.0278
2070.0000,0.0278
2072.0000,0.0277
2074.0000,0.0277
2076.0000,0.0277
2078.0000,0.0277
2080.0000,0.0277
2082.0000,0.0276
2084.0000,0.0276
2086.0000,0.0276
2088.0000,0.0276
2090.0000,0.0276
2092.0000,0.0276
2094.0000,0.0276
2096.0000,0.0275
2098.0000,0.0275
2100.0000,0.0275
2102.0000,0.0275
2104.0000,0.0275
2106.0000,0.0275
2108.0000,0.0275
2110.0000,0.0274
2112.0000,0.0274
2114.0000,0.0274
2116.0000,0.0274
2118.0000,0.0274
2120.0000,0.0274
2122.0000,0.0274
2124.0000,0.0274
2126.0000,0.0274
2128.0000,0.0274
2130.0000,0.0274
2132.0000,0.0274
2134.0000,0.0274
2136.0000,0.0273
2138.0000,0.0273
2140.0000,0.0273
2142.0000,0.0273
2144.0000,0.0273
2146.0000,0.0273
2148.0000,0.0273
2150.0000,0.0273
2152.0000,0.0273
2154.0000,0.0273
2156.0000,0.0273
2158.0000,0.0273
2160.0000,0.0273
2162.0000,0.0273
2164.0000,0.0273
2166.0000,0.0273
2168.0000,0.0273
2170.0000,0.0273
2172.0000,0.0273
2174.0000,0.0273
2176.0000,0.0273
2178.0000,0.0273
2180.0000,0.0273
2182.0000,0.0273
2184.0000,0.0273
2186.0000,0.0273
2188.0000,0.0273
2190.0000,0.0273
2192.0000,0.0273
2194.0000,0.0273
2196.0000,0.0273
2198.0000,0.0273
2200.0000,0.0274
2202.0000,0.0274
2204.0000,0.0274
2206.0000,0.0274
2208.0000,0.0274
2210.0000,0.0274
2212.0000,0.0274
2214.0000,0.0274
2216.0000,0.0274
2218.0000,0.0274
2220.0000,0.0274
2222.0000,0.0274
2224.0000,0.0274
2226.0000,0.0274
2228.0000,0.0275
2230.0000,0.0275
2232.0000,0.0275
2234.0000,0.0275
2236.0000,0.0275
2238.0000,0.0275
2240.0000,0.0275
2242.0000,0.0275
2244.0000,0.0275
2246.0000,0.0276
2248.0000,0.0276
2250.0000,0.0276
2252.0000,0.0276
2254.0000,0.0276
2256.0000,0.0276
2258.0000,0.0276
2260.0000,0.0276
2262.0000,0.0277
2264.0000,0.0277
2266.0000,0.0277
2268.0000,0.0277
2270.0000,0.0277
2272.0000,0.0277
2274.0000,0.0278
2276.0000,0.0278
2278.0000,0.0278
2280.0000,0.0278
2282.0000,0.0278
2284.0000,0.0278
2286.0000,0.0279
2288.0000,0.0279
2290.0000,0.0279
2292.0000,0.0279
2294.0000,0.0279
2296.0000,0.0279
2298.0000,0.0280
2300.0000,0.0280
2302.0000,0.0280
2304.0000,0.0280
2306.0000,0.0280
2308.0000,0.0281
2310.0000,0.0281
2312.0000,0.0281
2314.0000,0.0281
2316.0000,0.0282
2318.0000,0.0282
2320.0000,0.0282
2322.0000,0.0282
2324.0000,0.0282
2326.0000,0.0283
2328.0000,0.0283
2330.0000,0.0283
2332.0000,0.0283
2334.0000,0.0284
2336.0000,0.0284
2338.0000,0.0284
2340.0000,0.0284
2342.0000,0.0285
2344.0000,0.0285
2346.0000,0.0285
2348.0000,0.0286
2350.0000,0.0286
2352.0000,0.0286
2354.0000,0.0286
2356.0000,0.0287
2358.0000,0.0287
2360.0000,0.0287
2362.0000,0.0288
2364.0000,0.0288
2366.0000,0.0288
2368.0000,0.0288
2370.0000,0.0289
2372.0000,0.0289
2374.0000,0.0289
2376.0000,0.0290
2378.0000,0.0290
2380.0000,0.0290
2382.0000,0.0291
2384.0000,0.0291
2386.0000,0.0291
2388.0000,0.0292
2390.0000,0.0292
2392.0000,0.0293
2394.0000,0.0293
2396.0000,0.0293
2398.0000,0.0294
2400.0000,0.0294
2402.0000,0.0294
2404.0000,0.0295
2406.0000,0.0295
2408.0000,0.0296
2410.0000,0.0296
2412.0000,0.0296
2414.0000,0.0297
2416.0000,0.0297
2418.0000,0.0298
2420.0000,0.0298
2422.0000,0.0298
2424.0000,0.0299
2426.0000,0.0299
2428.0000,0.0300
2430.0000,0.0300
2432.0000,0.0301
2434.0000,0.0301
2436.0000,0.0301
2438.0000,0.0302
2440.0000,0.0302
2442.0000,0.0303
2444.0000,0.0303
2446.0000,0.0304
2448.0000,0.0304
2450.0000,0.0305
2452.0000,0.0305
2454.0000,0.0306
2456.0000,0.0306
2458.0000,0.0307
2460.0000,0.0307
2462.0000,0.0308
2464.0000,0.0308
2466.0000,0.0309
2468.0000,0.0310
2470.0000,0.0310
2472.0000,0.0311
2474.0000,0.0311
2476.0000,0.0312
2478.0000,0.0312
2480.0000,0.0313
2482.0000,0.0314
2484.0000,0.0314
2486.0000,0.0315
2488.0000,0.0315
2490.0000,0.0316
2492.0000,0.0317
2494.0000,0.0317
2496.0000,0.0318
2498.0000,0.0319
2500.0000,0.0319
2502.0000,0.0320
2504.0000,0.0321
2506.0000,0.0321
2508.0000,0.0322
2510.0000,0.0323
2512.0000,0.0323
2514.0000,0.0324
2516.0000,0.0325
2518.0000,0.0326
2520.0000,0.0326
2522.0000,0.0327
2524.0000,0.0328
2526.0000,0.0329
2528.0000,0.0329
2530.0000,0.0330
2532.0000,0.0331
2534.0000,0.0332
2536.0000,0.0333
2538.0000,0.0333
2540.0000,0.0334
2542.0000,0.0335
2544.0000,0.0336
2546.0000,0.0337
2548.0000,0.0338
2550.0000,0.0339
2552.0000,0.0340
2554.0000,0.0341
2556.0000,0.0341
2558.0000,0.0342
2560.0000,0.0343
2562.0000,0.0344
2564.0000,0.0345
2566.0000,0.0346
2568.0000,0.0347
2570.0000,0.0348
2572.0000,0.0349
2574.0000,0.0350
2576.0000,0.0352
2578.0000,0.0353
2580.0000,0.0354
2582.0000,0.0355
2584.0000,0.0356
2586.0000,0.0357
2588.0000,0.0358
2590.0000,0.0359
2592.0000,0.0361
2594.0000,0.0362
2596.0000,0.0363
2598.0000,0.0364
2600.0000,0.0366
2602.0000,0.0367
2604.0000,0.0368
2606.0000,0.0370
2608.0000,0.0371
2610.0000,0.0372
2612.0000,0.0374
2614.0000,0.0375
2616.0000,0.0376
2618.0000,0.0378
2620.0000,0.0379
2622.0000,0.0381
2624.0000,0.0382
2626.0000,0.0384
2628.0000,0.0385
2630.0000,0.0387
2632.0000,0.0389
2634.0000,0.0390
2636.0000,0.0392
2638.0000,0.0394
2640.0000,0.0395
2642.0000,0.0397
2644.0000,0.0399
2646.0000,0.0401
2648.0000,0.0403
2650.0000,0.0404
2652.0000,0.0406
2654.0000,0.0408
2656.0000,0.0410
2658.0000,0.0412
2660.0000,0.0414
2662.0000,0.0416
2664.0000,0.0419
2666.0000,0.0421
2668.0000,0.0423
2670.0000,0.0425
2672.0000,0.0427
2674.0000,0.0430
2676.0000,0.0432
2678.0000,0.0434
2680.0000,0.0437
2682.0000,0.0439
2684.0000,0.0442
2686.0000,0.0445
2688.0000,0.0447
2690.0000,0.0450
2692.0000,0.0453
2694.0000,0.0455
2696.0000,0.0458
2698.0000,0.0461
2700.0000,0.0464
2702.0000,0.0467
2704.0000,0.0470
2706.0000,0.0474
2708.0000,0.0477
2710.0000,0.0480
2712.0000,0.0483
2714.0000,0.0487
2716.0000,0.0490
2718.0000,0.0494
2720.0000,0.0498
2722.0000,0.0502
2724.0000,0.0505
2726.0000,0.0509
2728.0000,0.0513
2730.0000,0.0518
2732.0000,0.0522
2734.0000,0.0526
2736.0000,0.0531
2738.0000,0.0535
2740.0000,0.0540
2742.0000,0.0545
2744.0000,0.0550
2746.0000,0.0555
2748.0000,0.0560
2750.0000,0.0565
2752.0000,0.0571
2754.0000,0.0576
2756.0000,0.0582
2758.0000,0.0588
2760.0000,0.0594
2762.0000,0.0600
2764.0000,0.0607
2766.0000,0.0613
2768.0000,0.0620
2770.0000,0.0627
2772.0000,0.0634
2774.0000,0.0642
2776.0000,0.0649
2778.0000,0.0657
2780.0000,0.0665
2782.0000,0.0674
2784.0000,0.0682
2786.0000,0.0691
2788.0000,0.0700
2790.0000,0.0710
2792.0000,0.0720
2794.0000,0.0730
2796.0000,0.0740
2798.0000,0.0751
2800.0000,0.0762
2802.0000,0.0774
2804.0000,0.0786
2806.0000,0.0799
2808.0000,0.0812
2810.0000,0.0825
2812.0000,0.0839
2814.0000,0.0854
2816.0000,0.0869
2818.0000,0.0884
2820.0000,0.0901
2822.0000,0.0918
2824.0000,0.0935
2826.0000,0.0954
2828.0000,0.0973
2830.0000,0.0993
2832.0000,0.1014
2834.0000,0.1036
2836.0000,0.1058
2838.0000,0.1082
2840.0000,0.1107
2842.0000,0.1133
2844.0000,0.1161
2846.0000,0.1189
2848.0000,0.1219
2850.0000,0.1251
2852.0000,0.1284
2854.0000,0.1319
2856.0000,0.1356
2858.0000,0.1395
2860.0000,0.1436
2862.0000,0.1479
2864.0000,0.1524
2866.0000,0.1573
2868.0000,0.1623
2870.0000,0.1677
2872.0000,0.1734
2874.0000,0.1795
2876.0000,0.1859
2878.0000,0.1927
2880.0000,0.2000
2882.0000,0.2077
2884.0000,0.2159
2886.0000,0.2246
2888.0000,0.2340
2890.0000,0.2439
2892.0000,0.2545
2894.0000,0.2659
2896.0000,0.2780
2898.0000,0.2909
2900.0000,0.3047
2902.0000,0.3195
2904.0000,0.3354
2906.0000,0.3522
2908.0000,0.3703
2910.0000,0.3895
2912.0000,0.4100
2914.0000,0.4317
2916.0000,0.4548
2918.0000,0.4791
2920.0000,0.5048
2922.0000,0.5316
2924.0000,0.5595
2926.0000,0.5883
2928.0000,0.6179
2930.0000,0.6477
2932.0000,0.6775
2934.0000,0.7068
2936.0000,0.7350
2938.0000,0.7614
2940.0000,0.7854
2942.0000,0.8063
2944.0000,0.8234
