mol_id,smiles,homo,lumo,gap,h298,gap_eV
gdb_4565,Cc1ccc(cc1)O,-0.2109,0.0022,0.2131,-346.672541,5.798746409020043
gdb_4591,c1cc(ccc1O)O,-0.1982,-0.0021,0.1961,-382.60013,5.3361528428382465
gdb_4603,Cc1cnc(=O)oc1,-0.2554,-0.0771,0.1782,-398.647622,4.8490690290350615
gdb_4612,c1c(coc(=O)n1)N,-0.2277,-0.0758,0.1519,-414.690821,4.133409570765577
gdb_4634,c1c(oc(=O)o1)C#N,-0.2794,-0.0724,0.207,-433.378771,5.632756952919515
gdb_4639,c1c([nH]c(=O)o1)C=O,-0.2456,-0.0755,0.1702,-434.594474,4.631377939067157
gdb_4792,Cc1cc([nH]c1)OC,-0.177,0.0662,0.2432,-363.883812,6.617809135024281
gdb_4803,c1c(c[nH]c1CO)N,-0.1758,0.0374,0.2133,-379.935409,5.80418868626924
gdb_4828,CCc1ccc([nH]1)C,-0.1854,0.0481,0.2334,-327.971234,6.351137549813599
gdb_4868,c1c([nH]c(n1)CO)N,-0.1965,0.0291,0.2257,-395.999547,6.1416098757194915
gdb_4885,CNC1=COC(=N)O1,-0.1974,0.0388,0.2362,-415.855322,6.427329431302365
gdb_4918,CNc1cc([nH]c1)N,-0.1598,0.0633,0.2231,-360.051533,6.070860271479923
gdb_5008,c1cnc(c(=O)[nH]1)N,-0.1993,-0.0292,0.1701,-394.846006,4.628656800442559
gdb_5030,c1c(c(=O)nco1)N,-0.2245,-0.0423,0.1822,-414.696121,4.957914574019013
gdb_5076,Cc1c[nH]c(c1C)C,-0.1859,0.0551,0.241,-327.973611,6.557944085283108
gdb_5089,Cc1coc(c1O)N,-0.1783,0.0411,0.2194,-399.811493,5.970178142369767
gdb_5210,CC#Cc1ncco1,-0.2273,-0.0281,0.1992,-361.464017,5.420508140200809
gdb_5211,CC#Cc1cc[nH]c1,-0.1948,0.0244,0.2192,-325.537571,5.96473586512057
gdb_5272,c1cn(cn1)CCO,-0.2225,0.0307,0.2532,-379.937606,6.8899229974841605
gdb_5305,CC(C)c1[nH]ccn1,-0.214,0.0375,0.2515,-344.027006,6.843663640865982
gdb_5350,c1cnc(cn1)C#N,-0.2787,-0.0885,0.1901,-356.490889,5.172884525362319
gdb_5361,c1c(cncn1)C=O,-0.269,-0.0872,0.1818,-377.573164,4.947030019520618
gdb_5363,c1cnc(nc1)C=O,-0.26,-0.0828,0.1772,-377.569909,4.821857642789073
gdb_5422,Cc1c(cc[nH]1)C=O,-0.2201,-0.0238,0.1963,-362.715175,5.341595120087444
gdb_5455,Cc1ccoc1C#N,-0.2449,-0.0393,0.2056,-361.50481,5.594661012175132
gdb_5488,c1cn(c(n1)N)C=O,-0.2207,-0.043,0.1777,-394.827561,4.835463335912067
gdb_5572,CCc1c(ocn1)N,-0.198,0.0217,0.2198,-379.948771,5.981062696868162
gdb_5605,Cn1cccc1CO,-0.1908,0.0507,0.2415,-363.876713,6.571549778406101
gdb_5617,CCc1cocc1C,-0.2134,0.0281,0.2414,-347.835797,6.568828639781503
gdb_5711,c1coc2c1COC2,-0.217,0.0138,0.2308,-382.543064,6.28038794557403
gdb_5717,c1c2c(co1)NCC2,-0.19,0.0278,0.2178,-362.672603,5.926639924376186
gdb_5789,C1NC1C1=COC=C1,-0.2156,0.0225,0.2381,-362.649106,6.4790310651697425
gdb_5844,CC(C)(C(=O)NC)O,-0.2321,0.0374,0.2695,-402.231985,7.333468593293766
gdb_5893,CCOCC(C)(C)O,-0.2544,0.0785,0.333,-387.335927,9.061391619914005
gdb_5967,CCCC(C)(O)C#N,-0.297,0.0194,0.3164,-365.074451,8.609682608230603
gdb_5968,CCNC(C)(C)C#N,-0.2381,0.0366,0.2747,-345.18518,7.4749678017729035
gdb_6024,CC(O)C(C)(O)C#C,-0.2623,0.0346,0.2969,-384.89156,8.079060576433838
gdb_6208,CC1=CCC(C1)(C)C,-0.2246,0.0357,0.2603,-313.093048,7.083123839830676
gdb_6218,CC1(O)CCC(O)C1,-0.2549,0.0735,0.3284,-386.146461,8.93621924318246
gdb_6265,CC(O)CC(=O)C#N,-0.2864,-0.0859,0.2005,-399.808681,5.455882942320594
gdb_6270,CC(C)NC(=O)C=O,-0.2494,-0.0744,0.175,-401.036842,4.7619925930479
gdb_6335,CC(=O)NC(=N)CO,-0.2561,-0.0114,0.2448,-417.08821,6.661347353017862
gdb_6402,C[NH2+]C(C)CC([O-])=O,-0.2451,0.032,0.2771,-402.227939,7.540275128763275
gdb_6443,CC1CC(O)(C1)C#C,-0.2543,0.0331,0.2874,-347.75257,7.820552407096951
gdb_6543,CC1(CC1)C(C)(C)O,-0.2581,0.067,0.3251,-350.188436,8.846421668570699
gdb_6574,CC12CC(C)(C)C1O2,-0.2426,0.0906,0.3332,-348.976083,9.066833897163201
gdb_6612,CC1(O)CC2(CN2)C1,-0.2384,0.0703,0.3087,-365.016853,8.400154934136495
gdb_6614,CC(C)(C)C1CCC1,-0.2806,0.0762,0.3568,-314.262404,9.709022612568518
gdb_6623,CC#CC#CC(C)O,-0.2333,-0.013,0.2203,-346.552163,5.994668389991156
gdb_6653,CC(=O)NCCC#N,-0.2609,0.0138,0.2747,-379.965945,7.4749678017729035
gdb_6678,C(COC=O)C(=O)N,-0.2631,0.0081,0.2712,-436.98184,7.3797279499119455
gdb_6692,CC(C)N=COC=O,-0.2742,-0.0226,0.2515,-401.016149,6.843663640865982
gdb_6788,C(CNC(=O)N)CO,-0.2434,0.0596,0.303,-418.28152,8.245050032534364
gdb_6813,CC1(C)COC1C#N,-0.278,0.0002,0.2782,-363.85132,7.570207653633862
gdb_6904,CC#CC1CC1(C)O,-0.2272,0.054,0.2812,-347.761235,7.651841812371825
gdb_6924,CC1(O)CC1NC=O,-0.2415,0.026,0.2675,-400.996738,7.27904582080179
gdb_6958,CC1(C)OCOC1=N,-0.2663,0.0232,0.2895,-401.015474,7.877696318213525
gdb_7026,C(C=O)C(=N)NC=O,-0.2522,-0.0353,0.2169,-415.885809,5.902149676754798
gdb_7093,CCCC(=O)CC#C,-0.247,-0.0142,0.2328,-347.784834,6.334810718066007
gdb_7134,CCCC(=O)CCC,-0.2397,-0.0054,0.2343,-350.231937,6.375627797434988
gdb_7305,CC(CC=O)C(N)=O,-0.2502,-0.0213,0.2289,-401.036639,6.228686311706653
gdb_7322,CCCC(=O)C(=O)C,-0.2382,-0.0805,0.1577,-384.973442,4.291235610992308
gdb_7343,CCCC(=O)C(C)C,-0.237,-0.0064,0.2306,-350.231431,6.274945668324833
gdb_7373,CC(=O)N(C)CCO,-0.2411,0.016,0.2571,-402.217179,6.996047403843514
gdb_7435,CC(C)C(=O)N(C)C,-0.2338,0.0347,0.2685,-366.288122,7.3062572070477785
gdb_7465,CC#CC1(COC1)O,-0.2472,0.0283,0.2754,-383.67638,7.494015772145095
gdb_7498,COCC1(C)CCO1,-0.243,0.0777,0.3208,-386.105783,8.72941270771295
gdb_7513,CC1CC1(C)CC#C,-0.2571,0.053,0.3101,-311.82168,8.438250874880879
gdb_7547,CCCC1(O)CC1C,-0.2484,0.0769,0.3253,-350.189698,8.851863945819895
gdb_7634,CC(C)N1CC(=O)C1,-0.2294,-0.0221,0.2073,-365.049459,5.640920368793313
gdb_7646,CC(=O)N1CC(C1)O,-0.2341,0.0327,0.2668,-401.001854,7.259997850429597
gdb_7703,N=C1OC(=O)CC=C1,-0.2734,-0.0529,0.2205,-398.648595,6.000110667240354
gdb_7802,CC1OCCC(=N)O1,-0.2612,0.0167,0.2779,-401.014432,7.562044237760064
gdb_7891,CC1N=C(C)OC1=O,-0.2663,-0.019,0.2472,-399.859582,6.726654680008234
gdb_7916,CC1OC(=N)C=C1N,-0.2121,0.0013,0.2135,-379.948766,5.809630963518438
gdb_7976,CC1CC(C)=CC1O,-0.2404,0.0168,0.2572,-349.018522,6.998768542468113
gdb_8036,CC1CC2(O)COC12,-0.2411,0.06,0.3012,-384.897135,8.196069537291585
gdb_8039,CN1CC2(C)OCC12,-0.2095,0.0764,0.2859,-365.006793,7.779735327727969
gdb_8114,CC1OC2(C)C(O)C12,-0.2293,0.0759,0.3052,-384.894599,8.304915082275539
gdb_8138,CC1=CC2(C)CC2C1,-0.2145,0.0294,0.2439,-311.874417,6.636857105396473
gdb_8201,CC12CC=CC1(C)O2,-0.2391,0.0084,0.2474,-347.801343,6.732096957257431
gdb_8210,CC12CCCC1(C)O2,-0.2459,0.0874,0.3333,-349.015676,9.069555035787799
gdb_8330,CC1CC2(C1)CCC2,-0.2649,0.0879,0.3528,-313.04788,9.600177067584566
gdb_8376,OC1CC11CC(=N)O1,-0.2497,0.0283,0.278,-399.762822,7.564765376384664
gdb_8384,CC1CC2(CC2O)O1,-0.2229,0.0706,0.2935,-384.894867,7.986541863197477
gdb_8391,OC1CC11CC(O)C1,-0.2341,0.0709,0.305,-384.890864,8.299472805026339
gdb_8401,CC(C)C12CN(C1)C2,-0.2227,0.0705,0.2933,-329.04679,7.9810995859482805
gdb_8450,OC12CC(C1)C(=O)C2,-0.2389,-0.0091,0.2298,-383.741135,6.253176559328042
gdb_8483,CC1CC2(C)CC12O,-0.2357,0.0795,0.3153,-348.974484,8.579750083360016
gdb_8580,CC1OC2CC(C2)O1,-0.2413,0.0918,0.3332,-384.917347,9.066833897163201
gdb_8585,N=C1OC23CN(C2)C13,-0.2442,-0.0169,0.2273,-378.54067,6.185148093713072
gdb_8651,OCC(O)(C#C)C#N,-0.2869,-0.0119,0.2749,-398.546746,7.4804100790221
gdb_8666,CCC(C=O)(C=O)O,-0.2547,-0.0659,0.1888,-420.877699,5.137509723242534
gdb_8676,CCC(C)(NC)C#N,-0.2378,0.0346,0.2724,-345.183288,7.41238161340713
gdb_8905,CC(CO)C(C)C#N,-0.2747,0.0349,0.3096,-365.070361,8.424645181757883
gdb_8929,NC(CO)C(O)C#N,-0.2707,0.0234,0.294,-417.043201,8.00014755632047
gdb_8968,C(CC(=O)C#N)C#N,-0.3186,-0.1068,0.2117,-377.545963,5.760650468275659
gdb_9058,OC(CCC#C)C#N,-0.2723,0.0054,0.2777,-362.626457,7.556601960510867
gdb_9059,OC(CCC#N)C#C,-0.2825,0.015,0.2974,-362.629487,8.092666269556831
gdb_9073,CC(CNC=O)C#N,-0.2693,0.0111,0.2804,-379.955807,7.630072703375035
gdb_9171,CCC(=O)OC=NC,-0.2609,-0.0165,0.2444,-401.029285,6.6504627985194675
gdb_9201,C#CCNC(=O)CO,-0.2488,0.0194,0.2683,-399.766367,7.300814929798579
gdb_9260,CC(CO)CCC#N,-0.2768,0.0371,0.3139,-365.070234,8.541654142615632
gdb_9268,CCC(C)OCC#N,-0.2825,0.0126,0.295,-365.064296,8.02735894256646
gdb_9272,COC(C)CCC#C,-0.2493,0.0614,0.3107,-348.957607,8.45457770662847
gdb_9273,COC(C)CCC#N,-0.2674,0.0415,0.3089,-365.067412,8.405597211385693
gdb_9353,CCNCC(=O)OC,-0.2242,0.0151,0.2393,-402.213819,6.511684728664928
gdb_9365,COCCC(=O)OC,-0.2552,0.0151,0.2703,-422.088998,7.355237702290555
gdb_9390,CCOCC(O)C#N,-0.2725,0.0096,0.2821,-400.983691,7.676332059993215
gdb_9395,COCCC(O)C#N,-0.2658,0.0091,0.2749,-400.982198,7.4804100790221
gdb_9414,CCC(C)CCCO,-0.2614,0.0813,0.3427,-351.401293,9.325342066500088
gdb_9484,CC1CCC1(O)C#C,-0.2545,0.0366,0.291,-347.751761,7.918513397582507
gdb_9531,COC1(C)CCC1=O,-0.2236,-0.0252,0.1983,-384.929744,5.396017892579421
gdb_9576,OC1(CC1C#C)C#N,-0.2652,-0.0002,0.265,-361.408015,7.21101735518682
gdb_9587,CC1(CC1C=O)C#C,-0.2469,-0.0296,0.2173,-346.56133,5.913034231253192
gdb_9634,CC1(NC1CO)C#C,-0.2422,0.031,0.2732,-363.789075,7.434150722403921
gdb_9637,CC1(OC1CO)C#N,-0.2849,0.0003,0.2852,-399.774553,7.760687357355778
gdb_9686,CCC1OC1(C)CO,-0.2557,0.0841,0.3398,-386.118638,9.246429046386721
gdb_9713,NC1(CCC=C1)C#N,-0.2524,-0.0075,0.2448,-342.793281,6.661347353017862
gdb_9735,OC1(CCOC1)C#C,-0.2467,0.0311,0.2778,-383.692924,7.559323099135466
gdb_9759,COC1(C)CCC=C1,-0.2422,0.0163,0.2585,-349.000818,7.034143344587898
gdb_9788,CC1(CC1)C(O)C#N,-0.2939,0.0135,0.3074,-363.851329,8.364780132016712
gdb_9836,COC(=O)C1(CC1)O,-0.249,0.0086,0.2576,-420.88279,7.009653096966509
gdb_9865,CC1(CO1)C#CC#N,-0.2839,-0.055,0.2289,-361.419009,6.228686311706653
gdb_9874,CC1(CC1)OCC#N,-0.2691,0.0131,0.2822,-363.840782,7.679053198617813
gdb_10034,CN=C(CC#C)OC,-0.2499,0.0072,0.257,-363.805761,6.993326265218916
gdb_10057,COC(CC#C)C=O,-0.2508,-0.0363,0.2145,-383.688466,5.836842349764425
gdb_10237,CC(=O)C(C#C)C#N,-0.2708,-0.0492,0.2216,-361.441796,6.0300431921109405
gdb_10248,CC(=O)N(C=O)C=O,-0.2626,-0.05,0.2125,-435.787303,5.782419577272449
gdb_10277,CC(=O)C(CO)C#C,-0.2518,-0.0327,0.2191,-383.713274,5.96201472649597
gdb_10282,CCC(C#N)C(N)=O,-0.2667,0.0102,0.2769,-379.96935,7.534832851514077
gdb_10373,C1CNC1(C#N)C#N,-0.2811,-0.0301,0.2509,-357.623724,6.827336809118389
gdb_10400,C1COC1(CO)CO,-0.2429,0.0631,0.306,-422.037621,8.326684191272328
gdb_10433,COC1(COC1)C=O,-0.2516,-0.0423,0.2094,-420.83216,5.698064279909887
gdb_10481,CC#CC1(CO1)C=O,-0.2541,-0.0397,0.2144,-382.487515,5.834121211139827
gdb_10613,CCC1(CO)OC1C,-0.2549,0.0802,0.3351,-386.117519,9.11853553103058
gdb_10632,CCC1(NC1C)C#C,-0.2358,0.0393,0.2751,-327.867961,7.485852356271299
gdb_10644,COC1(CC1N)C#N,-0.2424,0.0144,0.2567,-379.885254,6.9851628493451186
gdb_10681,CC(C)C1(CC1)C#C,-0.2402,0.0549,0.2951,-311.823692,8.030080081191057
gdb_10714,COC1(CC1)C(=O)N,-0.238,0.0284,0.2663,-401.002714,7.2463921573066035
gdb_10721,CC(C)C1(CC1)CO,-0.2614,0.0742,0.3355,-350.1809,9.129420085528974
gdb_10773,CC1C(O)C(=O)C1O,-0.2578,-0.0365,0.2213,-420.864149,6.021879776237144
gdb_10783,CC1C(O)C(O)C1O,-0.2579,0.0576,0.3155,-422.053234,8.585192360609213
gdb_10785,[NH2+]=C1O[CH-]C(=O)C=C1,-0.1784,-0.0673,0.1111,-398.600932,3.0231850119292667
gdb_10800,C1C(=O)OCC(=O)O1,-0.2894,-0.0204,0.269,-455.662649,7.319862900170772
gdb_10811,C1C(=O)COC(=N1)N,-0.2296,-0.0257,0.2039,-415.882186,5.548401655556953
gdb_10842,C1CC(=O)CCC1O,-0.2378,-0.0147,0.223,-384.969857,6.068139132855324
gdb_10946,CC12CN1C(C2)C=O,-0.2432,-0.0272,0.216,-363.821238,5.877659429133407
gdb_11099,C#CC1CN(C1)C=O,-0.2464,0.0201,0.2665,-362.624867,7.251834434555802
gdb_11107,CN=C1CC(O1)C=O,-0.2555,-0.0401,0.2154,-399.786259,5.8613325973858155
gdb_11122,OCC1CC(O1)C#N,-0.2746,-0.0081,0.2665,-399.77424,7.251834434555802
gdb_11138,OCC1CC(CO)C1,-0.2604,0.0731,0.3335,-386.10725,9.074997313036999
gdb_11187,O=C1NCC(N1)C#C,-0.2518,0.0271,0.2788,-378.724138,7.586534485381454
gdb_11276,CC1COC(=N1)C#N,-0.275,-0.0562,0.2188,-378.738009,5.953851310622174
gdb_11329,CN=C1NC(=N)CO1,-0.2366,0.0077,0.2443,-396.001309,6.6477416598948675
gdb_11359,CCC1=CCC(=O)C1,-0.2384,-0.0141,0.2243,-347.838851,6.103513934975108
gdb_11362,CCC1=NCC(=N)N1,-0.2262,0.0047,0.2309,-360.072648,6.283109084198629
gdb_11379,COC1=NCC(C)N1,-0.2138,0.0636,0.2774,-381.133503,7.5484385446370705
gdb_11396,CCC1OC(C)C=C1,-0.2298,0.0178,0.2475,-349.012066,6.73481809588203
gdb_11434,OCC1CC(=O)CN1,-0.2287,-0.0188,0.2099,-401.002502,5.7116699730328815
gdb_11454,CCC1COC(C)=N1,-0.2392,0.0301,0.2693,-365.089157,7.328026316044568
gdb_11479,OCC1CC(O)CO1,-0.2417,0.0639,0.3056,-422.0641,8.315799636773932
gdb_11504,CC(CC1CN1)C#N,-0.257,0.0334,0.2904,-343.966001,7.902186565834914
gdb_11520,OC(CC1CO1)C#C,-0.2647,0.0276,0.2923,-383.663084,7.953888199702292
gdb_11588,CC(=O)CCC1CC1,-0.2407,-0.0072,0.2336,-349.008651,6.356579827062797
gdb_11614,CC(O)C#CC1CN1,-0.238,0.0221,0.26,-363.791494,7.07496042395688
gdb_11643,CN1C2CC1(C2)C#C,-0.2174,0.0296,0.247,-326.604631,6.721212402759035
gdb_11659,OC1C2CC1(O2)C=O,-0.2535,-0.0458,0.2076,-419.595052,5.649083784667109
gdb_11675,COC12CC(C1)C2C,-0.2467,0.098,0.3447,-348.941622,9.379764838992063
gdb_11688,O=C1CC2(NC12)C#N,-0.2667,-0.0512,0.2155,-377.490175,5.864053736010414
gdb_11692,O=C1OC2(CC12)C#C,-0.2651,-0.0181,0.247,-381.290642,6.721212402759035
gdb_11696,O=CC12CC(=O)C1O2,-0.2646,-0.0699,0.1946,-418.440832,5.295335763469264
gdb_11714,OC1CC2(CC12)C#N,-0.2715,0.017,0.2885,-362.638713,7.850484931967537
gdb_11734,CCC12CN1C(=O)C2,-0.2453,-0.0079,0.2374,-363.844066,6.4599830947975505
gdb_11760,C#CC12CC(C1)C=C2,-0.2307,0.0087,0.2394,-309.393086,6.514405867289527
gdb_11779,O=CC12CC(C1)CC2,-0.2447,-0.0207,0.224,-347.800251,6.095350519101312
gdb_11790,CCC12CC(C1)OC2,-0.2343,0.0783,0.3125,-348.980889,8.50355820187125
gdb_11829,CC1CC2(CN2)C1O,-0.2383,0.0642,0.3025,-365.010084,8.23144433941137
gdb_11846,C1CC12CC(C2)C=O,-0.2447,-0.0218,0.2229,-347.779476,6.0654179942307245
gdb_11850,C1CC12CN(C2)C=O,-0.2392,0.026,0.2653,-363.84571,7.219180771060616
gdb_11884,C1CC2(CC2)OC1=O,-0.2617,0.0145,0.2762,-383.769678,7.515784881141886
gdb_11941,CC12CC1(OC2)C=O,-0.2445,-0.0348,0.2097,-383.703583,5.706227695783683
gdb_11945,OC12CC1(NC2)C=O,-0.215,-0.0282,0.1868,-399.744885,5.083086950750558
gdb_11951,CC12CCC1(CO)O2,-0.2495,0.074,0.3235,-384.899516,8.802883450577118
gdb_11964,CC1(C)CCC11CO1,-0.2535,0.0821,0.3356,-348.973602,9.132141224153573
gdb_11967,CC1(C)OCC11CN1,-0.2423,0.0665,0.3088,-365.01438,8.402876072761094
gdb_11970,CC1(O)CCC11CN1,-0.2336,0.0654,0.299,-365.018798,8.136204487550412
gdb_12038,CC1(OC2CC12)C#N,-0.264,0.0088,0.2729,-362.622064,7.425987306530124
gdb_12119,CC1(CO1)C1(C)CO1,-0.2598,0.079,0.3387,-384.893318,9.216496521516135
gdb_12174,CC1C(NC1=O)C=O,-0.2548,-0.0404,0.2144,-399.821895,5.834121211139827
gdb_12218,OC1CN(C=O)C1=N,-0.2593,-0.0357,0.2236,-415.859197,6.084465964602916
gdb_12220,CC1C(O)CC1C=O,-0.2394,-0.0163,0.2232,-384.926365,6.073581410104522
gdb_12270,CN1CC(CO)C1=O,-0.2522,0.0258,0.278,-401.00866,7.564765376384664
gdb_12335,OC1C=CCCC1=O,-0.232,-0.0213,0.2107,-383.755295,5.733439082029672
gdb_12372,CC1=CCOCC1O,-0.2406,0.0162,0.2568,-384.938527,6.987883987969718
gdb_12499,C1CCOC(=O)OC1,-0.2703,0.0276,0.298,-420.907576,8.108993101304423
